step,msd_global,n_round,n_elongated,density
10700,17838.92318140483,74.96875,925.03125,0.7
10800,18364.099252059164,73.5,926.5,0.7
10900,18897.211140407526,71.484375,928.515625,0.7
11000,19436.422046735748,69.1875,930.8125,0.7
11100,19990.995853247718,66.5,933.5,0.7
11200,20558.616249480205,63.609375,936.390625,0.7
11300,21143.425976869774,61.6875,938.3125,0.7
11400,21744.08535904751,59.59375,940.40625,0.7
11500,22358.720199662203,57.328125,942.671875,0.7
11600,22986.730925959753,55.796875,944.203125,0.7
11700,23626.290735092327,53.859375,946.140625,0.7
11800,24272.61150107517,52.078125,947.921875,0.7
11900,24925.285752933385,50.078125,949.921875,0.7
12000,25596.445993470566,49.171875,950.828125,0.7
12100,26277.462260905646,48.078125,951.921875,0.7
12200,26968.269368648645,47.59375,952.40625,0.7
12300,27672.08985781833,46.53125,953.46875,0.7
12400,28381.957857405996,46.40625,953.59375,0.7
12500,29117.49849202244,46.203125,953.796875,0.7
12600,29860.632511794087,45.390625,954.609375,0.7
12700,30614.240708119618,45.078125,954.921875,0.7
