step,msd_global,n_round,n_elongated,density
17300,136440.37852512347,0.015625,499.984375,0.01
17400,137546.6319286626,0.0,500.0,0.01
17500,138708.7831296348,0.09375,499.90625,0.01
17600,139762.79548498063,0.0,500.0,0.01
17700,140700.62988377566,0.015625,499.984375,0.01
17800,141746.34833082123,0.03125,499.96875,0.01
17900,142852.3853423523,0.03125,499.96875,0.01
18000,143883.15253075754,0.03125,499.96875,0.01
18100,145082.327661598,0.015625,499.984375,0.01
18200,146138.4229582213,0.015625,499.984375,0.01
18300,147230.5003576664,0.015625,499.984375,0.01
18400,148324.3301627363,0.0,500.0,0.01
18500,149407.11743972515,0.0,500.0,0.01
18600,150522.49502489617,0.03125,499.96875,0.01
18700,151575.68757534816,0.0625,499.9375,0.01
18800,152605.98336569633,0.046875,499.953125,0.01
18900,153663.2894098496,0.0,500.0,0.01
19000,154712.3591013041,0.0,500.0,0.01
19100,155910.5038686978,0.0,500.0,0.01
19200,156895.0203563352,0.0,500.0,0.01
19300,157907.16056572544,0.015625,499.984375,0.01
19400,159004.94641882236,0.0625,499.9375,0.01
19500,160098.78616352152,0.09375,499.90625,0.01
19600,161101.31477188983,0.03125,499.96875,0.01
19700,162090.413131862,0.015625,499.984375,0.01
19800,163319.83588215438,0.03125,499.96875,0.01
19900,164506.44790972653,0.0,500.0,0.01
20000,165568.5373016423,0.015625,499.984375,0.01
20100,166815.142376017,0.015625,499.984375,0.01
20200,167769.41718891752,0.046875,499.953125,0.01
20300,169005.3388203091,0.078125,499.921875,0.01
20400,170273.14147860813,0.015625,499.984375,0.01
20500,171366.07661625385,0.015625,499.984375,0.01
20600,172544.08274341706,0.0,500.0,0.01
20700,173668.13108417788,0.0,500.0,0.01
20800,174668.18083738955,0.046875,499.953125,0.01
20900,175750.0146063066,0.046875,499.953125,0.01
21000,176791.7610436385,0.0,500.0,0.01
21100,177841.2143782803,0.015625,499.984375,0.01
21200,178876.643935582,0.015625,499.984375,0.01
21300,179857.6524260696,0.03125,499.96875,0.01
21400,180926.41393415228,0.03125,499.96875,0.01
21500,182066.27009080205,0.046875,499.953125,0.01
21600,183172.779145149,0.0,500.0,0.01
21700,184306.53693216052,0.015625,499.984375,0.01
21800,185341.35038298313,0.046875,499.953125,0.01
21900,186372.7760987056,0.03125,499.96875,0.01
22000,187433.67185024757,0.03125,499.96875,0.01
22100,188550.55758931988,0.015625,499.984375,0.01
22200,189757.29754319458,0.03125,499.96875,0.01
22300,190956.3662714383,0.0625,499.9375,0.01
22400,192088.5990163584,0.015625,499.984375,0.01
22500,193213.66273457042,0.015625,499.984375,0.01
22600,194388.4850498499,0.0,500.0,0.01
22700,195504.69859159333,0.015625,499.984375,0.01
22800,196724.1391742969,0.0,500.0,0.01
22900,197733.97155619503,0.0,500.0,0.01
