step,nematic,polar,nematic_2,polar_2,fraction_elongated
3800,0.47616072119766345,0.37492392806290453,0.29531645531074324,0.23282123212889427,0.6085937499999999
3900,0.4931128977766226,0.37954657868069064,0.31142656939049557,0.2399135776644074,0.6190000000000002
4000,0.5054625096027646,0.38782557291931385,0.32383997055794234,0.24820325874986474,0.627625
4100,0.5173798668562322,0.39888569287314324,0.33612910926438716,0.258248495729533,0.6362500000000001
4200,0.5284111585326803,0.40732011839802884,0.3482982595250105,0.2676637932353957,0.6450625000000002
4300,0.5358159882491728,0.4159364058909219,0.3585054364469866,0.2773033723471215,0.6547499999999998
4400,0.5472585024951225,0.4208456155510256,0.3715795241316215,0.28506551481071757,0.66446875
4500,0.5609991442747195,0.43134963516513064,0.3859236444960492,0.29564092052696306,0.673625
4600,0.5693568163615814,0.43471664403284166,0.39731261558902914,0.3024846205558549,0.68403125
4700,0.5844754610253476,0.4454000372442897,0.4128590723211722,0.31295773626450124,0.6925000000000001
4800,0.5995643463899929,0.45197289658653095,0.42828460392833434,0.32146676802270574,0.7009374999999999
4900,0.6070417507394956,0.46032456128142146,0.43975045670321,0.3314010115042427,0.7104999999999998
5000,0.6077286216288834,0.4663510335751208,0.44509391871431997,0.3394520767218831,0.7183750000000003
5100,0.6153444106982939,0.47324664450239873,0.45615263178829696,0.34901742740042974,0.7274375000000002
5200,0.6245337991625302,0.47872865556309685,0.467858382380271,0.3564034063912052,0.7346562499999999
5300,0.6324469334328399,0.4836781679864893,0.4790269625047269,0.36428609817087915,0.7432499999999995
5400,0.6450435836379914,0.4917779706286848,0.49249404425270304,0.37376059318068455,0.74984375
5500,0.6531500368945178,0.5025515458704248,0.5032813399872287,0.385714246098898,0.7572812499999996
5600,0.664202482260843,0.5086451259610008,0.5165018536081868,0.3944831788144574,0.7642187500000001
5700,0.6756455458767869,0.5169299540319998,0.5314653182551382,0.40494606531214467,0.7727499999999999
5800,0.6872385520728072,0.524769052924118,0.5440496540878043,0.4137660235472041,0.7777187499999998
5900,0.6933631759977922,0.5299617745756114,0.5544661644142665,0.42237969907387024,0.7858124999999998
6000,0.6997010626701857,0.5321616640615713,0.5664873637966517,0.42969792274371493,0.7955312500000001
6100,0.7077612464055444,0.5359216788382327,0.5782480402208241,0.4373860721664367,0.803875
6200,0.7208539378598442,0.5368696600058411,0.5928137068646523,0.442281097365022,0.8110625000000001
6300,0.7287648676938937,0.5399197202933034,0.6041921656677989,0.44886520743460806,0.8182500000000001
6400,0.7338733329418479,0.540716822876692,0.6148890506745851,0.455084707170384,0.8273437500000004
6500,0.7392630456236025,0.5422302280998318,0.6251418232847571,0.46035084158011497,0.8347812500000001
6600,0.7441987026046694,0.5447434817327284,0.63455261349588,0.4655264020222651,0.8409687500000002
6700,0.7526330444622428,0.5475818699003199,0.6470376234199681,0.4720873961009566,0.8479999999999999
6800,0.7566260606700833,0.5519985632695119,0.6564504607010642,0.4799993173826394,0.8558437500000001
