step,nematic,polar,nematic_2,polar_2,fraction_elongated
4600,0.1552061665709392,0.2023361394202872,0.06877391743966683,0.08911618880194927,0.4408000000000001
4700,0.14623800223324154,0.20855451169878128,0.06530017865049778,0.09258356058996037,0.44425000000000003
4800,0.14444814626536281,0.21514937357235636,0.06506956755234734,0.09653533198514143,0.44808749999999997
4900,0.14789106910058708,0.21935507631095347,0.06726681902304371,0.09954674535992476,0.45215000000000005
5000,0.15090230934963467,0.22364479228970244,0.06902580592650116,0.10257569285550644,0.45577500000000004
5100,0.1583347283572136,0.2276667917623054,0.07289498360992473,0.10543792393905016,0.4587625
5200,0.1705738786368389,0.2293362730361145,0.07937956504289444,0.10757648837402434,0.46328749999999996
5300,0.17771821458485026,0.23429619008222968,0.08351216821794401,0.111055536595659,0.4674625
5400,0.18648150336083497,0.2403016318918493,0.08843571737001428,0.11510069752135588,0.47217499999999996
5500,0.1898470687825657,0.24357611587923492,0.09104976551011887,0.11793734791514326,0.4771875
5600,0.19677619672067265,0.2447162890259188,0.09530283473391235,0.11981030826920423,0.48216249999999994
5700,0.2000660517340333,0.24594247608882408,0.09830010885605939,0.12218534959400942,0.4890624999999999
5800,0.2026266261314027,0.25207693714688884,0.10024525403561046,0.12607689822684767,0.49271250000000005
5900,0.20446581678280618,0.2541965308451854,0.10185404158714637,0.1282186369262319,0.49671250000000006
6000,0.2087482356962659,0.2572618870561893,0.10453597148082525,0.13054900863702532,0.499275
6100,0.21826801758831677,0.26153267703218375,0.11041589013339985,0.13396075666863447,0.5038
6200,0.23034040070988174,0.26337311820741943,0.11717069094241396,0.13607455571570212,0.5078374999999999
6300,0.23567716856981183,0.2668632941560939,0.12060760625093989,0.13874826436462703,0.5111749999999999
6400,0.241104559352212,0.2679106782445652,0.12435836325503181,0.14083434773955494,0.5151375
6500,0.24589659189124313,0.2680693034557184,0.12753378733964585,0.14231041234741382,0.5195624999999999
6600,0.251234071641471,0.2701686072940684,0.13118569149756895,0.1450686084550234,0.5239999999999999
6700,0.2574975231008002,0.2736202132957387,0.13541280180870902,0.14801393170171667,0.5270874999999999
6800,0.26347556112404574,0.27511316404875763,0.13960505633851006,0.1500702735247895,0.5302875
