density,n_realizations,n_round,n_round_std,max_round,max_round_std,2_max_round,2_max_round_std,ratio_round,ratio_round_std,n_elongated,n_elongated_std,max_elongated,max_elongated_std,2_max_elongated,2_max_elongated_std,ratio_elongated,ratio_elongated_std,n_round_2,n_round_2_std,max_round_2,max_round_2_std,2_max_round_2,2_max_round_2_std,ratio_round_2,ratio_round_2_std,n_elongated_2,n_elongated_2_std,max_elongated_2,max_elongated_2_std,2_max_elongated_2,2_max_elongated_2_std,ratio_elongated_2,ratio_elongated_2_std
0.81,64,221.15535714285716,18.654187745398005,3137.158705357143,706.4876790310801,599.6694196428572,169.09701993262672,0.26859825194611386,0.12606453710796775,1041.4678571428572,33.4842881217506,1120.6767857142859,445.9720772061344,496.48549107142856,109.73663068740458,0.551487455093923,0.09160955095217287,142.62343750000002,8.850876053480533,3392.0484375,735.6032610264614,564.2904017857143,167.3276197254884,0.23673266669288973,0.12250954344837606,177.89486607142857,7.252704718581671,3872.0194196428574,561.0908594903412,344.79017857142856,76.04098441724373,0.12352347299636202,0.04661766297917597
0.82,64,207.8997767857143,20.325548461489696,3329.8308035714285,667.7309312986888,632.5886160714285,167.5232806622601,0.26498895319643784,0.11679300293355223,989.5245535714287,38.96039681578886,1215.9977678571427,470.4707053318382,513.5162946428572,108.62008087222759,0.5310841913775388,0.09336635802281873,134.5046875,9.922868410428848,3572.666294642857,693.3646202870508,595.1350446428571,174.1370102004164,0.23496827011288246,0.1158075819755375,168.73370535714284,6.938209565442937,3836.7200892857145,542.9909047383421,328.4535714285714,78.01425617063089,0.11879269400669913,0.04454456371137444
0.83,64,205.65066964285717,17.06697186196222,3983.3187500000004,797.0649120324889,509.6294642857143,183.87061661185342,0.18882599123450922,0.09959187740393673,959.1564732142857,30.623066824971716,946.0904017857143,381.4689223312928,441.6254464285714,123.53239705668491,0.572180354638028,0.09451381758247467,128.4216517857143,9.1346125639677,4235.596428571429,796.7818252846788,465.9274553571429,179.15659110241216,0.160977466882165,0.09210011513212857,166.31897321428573,7.4041002196595915,3332.1830357142853,621.0939194198916,355.6189732142857,69.29718735476514,0.15123551025421356,0.057798240712374965
0.84,64,195.26160714285714,15.241183759069145,4214.114955357143,885.4533460456943,487.7080357142857,203.72024159995627,0.1713152695472715,0.10843952090585265,912.1084821428572,37.59604340288143,1013.6399553571428,439.81435411402896,429.8089285714285,110.1608657497188,0.5414517999178151,0.11312251721242904,122.54084821428572,9.069723398288447,4438.289285714286,883.4602539838963,454.6821428571428,206.52890444338857,0.1508158500493133,0.10162513523349646,157.95558035714288,7.201364516881843,3249.5816964285714,675.1731993390479,354.60312500000003,82.16832354794212,0.15880169849936604,0.07266141614837796
0.85,64,186.43526785714286,13.951816748999672,4545.230803571429,1127.2675284170036,464.39933035714284,242.42913952967385,0.15754225808767608,0.12958299072320734,871.3491071428572,38.89239529636309,1007.0642857142858,521.2424469664749,404.22968749999995,126.86065175901078,0.531046063250507,0.12425549415320016,115.06986607142858,10.136598662296747,4769.659151785714,1125.0561674460687,419.89330357142853,243.08922979867373,0.13694957438348665,0.12356543478954506,153.10691964285715,7.3957481687974935,3025.7616071428574,852.7850212096707,365.2214285714286,86.40741061393696,0.18444877914906094,0.08854555008500509
0.855,64,185.83348214285715,27.1921929261056,6058.496651785714,1996.0684717882311,305.07678571428573,236.14232452307854,0.09288039737844486,0.11119033751113265,694.5707589285714,247.55223123161923,650.233705357143,609.9401442770384,260.7714285714286,190.14923903759373,0.633017986244647,0.18008636969563516,78.0328125,49.04085758029196,6441.508705357142,2253.1946218865755,263.6616071428572,255.84918028146282,0.08134145339132436,0.10987124540129771,161.51473214285716,20.064305910736714,1963.3011160714286,1436.954719875732,264.38794642857147,171.28376289823905,0.3822524011196027,0.2930803506039911
0.858,64,148.39776785714287,32.836680428937406,7148.739732142858,2218.8929653714677,205.9426339285714,237.2346534826574,0.05931590951241003,0.0947434784883854,562.6819196428571,286.3380376511473,444.93370535714286,557.0383680747674,193.12410714285716,206.4540965925308,0.6923874374966652,0.16725109636422159,56.89955357142857,51.84589053339563,7421.1600446428565,2291.3320675108107,174.99799107142854,232.8172770552354,0.050349277351664924,0.08612101409121282,157.26607142857142,14.60124589205521,1365.4638392857146,1421.1285437730774,212.29017857142856,198.45970249380449,0.5094557890995861,0.30694613033674
0.86,64,123.96540178571428,46.952233017435226,7580.020535714286,2281.5411013256776,170.5375,203.72567875294843,0.04423975483071818,0.06925934687938852,496.3392857142857,297.74330123533434,377.5899553571428,537.703960881496,168.91339285714284,207.09269297774574,0.7198103206007961,0.1573525188122722,48.02544642857143,51.74895296776977,7799.740178571428,2276.5297215454602,133.23950892857144,185.43330987628943,0.033955951435062116,0.057745624943359705,150.7875,11.76514056677095,1174.4919642857142,1427.1964444232078,178.94241071428573,195.29707634014497,0.550627267093507,0.3085932057013777
0.862,64,103.1357142857143,55.231004998862026,8058.274553571429,2081.3675564657765,126.27455357142856,172.26223155488987,0.029806468686000825,0.05185483266127742,430.19665178571427,293.31187742607835,275.3363839285714,386.53293217714935,135.190625,180.52300393015645,0.7522372612790771,0.14415311861434135,39.542187500000004,48.8734617844308,8215.434151785714,2049.018078823234,104.14598214285715,159.57108665807354,0.024220261475925764,0.043976950734224377,144.93147321428572,10.618593742683512,921.9546875000001,1221.035561318972,144.19642857142856,178.72674671207392,0.5938517419679765,0.303482357774951
0.865,64,64.59285714285714,53.29023714337869,8832.204241071428,1953.556451838407,75.0455357142857,153.38766453822515,0.023194697764913792,0.07463299694148628,295.6816964285714,259.05273446165717,208.01450892857144,553.7779289862304,79.10758928571428,171.0634846733494,0.8057327902984683,0.1521431799182394,21.130580357142858,40.543261905712704,8923.909821428571,1917.7346865846855,62.268973214285715,150.0205109949142,0.020641937673851883,0.0738679676764665,131.62834821428572,12.605258668932827,541.5140625,1198.8147923101767,81.66874999999999,163.14104853183755,0.7111197532081657,0.24707923775301135
0.87,64,44.604241071428575,54.486991382027696,9096.492187500002,1738.6205902378547,60.919196428571425,143.3902400247724,0.01850579855304641,0.0510725794043682,228.43950892857143,255.23959988822145,151.8776785714286,390.87870778214676,59.575669642857136,135.6605313923183,0.8053697541716045,0.14306616741363332,17.386160714285715,36.63788957931896,9153.644419642857,1677.804715149421,50.15669642857143,133.45836355888073,0.015555943094960195,0.04638712581255262,102.92633928571428,20.187510887810838,430.66808035714286,1010.7842037008674,62.22232142857143,132.13136815594265,0.7210123596614282,0.23441961273410436
0.88,64,8.0046875,1.4095400226303705,9932.403125,7.765511231241612,1.8296875,0.4975111668205158,0.00018425067747108282,5.015996227202265e-05,58.71875,7.0257773675976685,1.5843749999999999,0.2358495283014151,1.1921875000000002,0.15045400868756778,0.8131510416666667,0.08483832387660802,1.0,0.0,9940.446875,7.21785635745311,0.0,0.0,0.0,0.0,54.306250000000006,6.1538186621791295,2.6875,0.43661759084457497,2.109375,0.26709415140411763,0.8174479166666666,0.06695240929368618
0.9,64,2.184375,0.39247636669320407,9987.4703125,2.2795627321922507,0.7,0.15735915849388865,7.0091408252252e-05,1.575932238878458e-05,11.323437499999999,2.1526463733577237,1.015625,0.05695654149478899,1.0,0.0,0.9927083333333333,0.025000000000000015,1.0,0.0,9988.6609375,2.1514570321322855,0.0,0.0,0.0,0.0,11.228125,2.0940936403616663,1.1046874999999998,0.12399396746718756,1.00625,0.030210898905832194,0.9518229166666667,0.05313099743094472
