step,N_round,MAX_round,2_MAX_round,N_elongated,MAX_elongated,2_MAX_elongated,N_round_2,MAX_round_2,2_MAX_round_2,N_elongated_2,MAX_elongated_2,2_MAX_elongated_2
7200,23.671875,27.328125,13.09375,220.3359375,446.984375,85.078125,19.1796875,30.3984375,14.375,52.8359375,738.171875,53.046875
7300,23.1796875,27.6953125,12.5078125,217.15625,448.5859375,86.7734375,18.9375,30.3515625,13.578125,51.328125,749.4453125,47.5390625
7400,23.78125,25.4453125,12.328125,216.171875,459.6328125,84.9140625,19.5078125,27.4453125,13.46875,51.421875,758.96875,47.7890625
7500,24.0078125,25.9921875,12.7109375,211.4609375,478.515625,80.21875,19.328125,28.3515625,13.9453125,51.2578125,760.3046875,44.03125
7600,23.984375,26.9296875,13.328125,214.6015625,480.6796875,79.5703125,19.3671875,29.4609375,14.6953125,52.0234375,745.4453125,56.421875
7700,23.734375,26.84375,13.3828125,212.1640625,471.90625,87.7890625,19.2265625,28.8984375,14.6875,51.4375,755.8203125,48.65625
7800,24.171875,25.828125,12.8125,212.6875,472.265625,85.828125,19.515625,28.1328125,14.0234375,51.96875,767.4453125,43.90625
7900,23.5390625,26.0234375,12.9765625,210.6640625,484.3671875,81.71875,19.484375,27.671875,13.7265625,51.8125,767.6015625,40.71875
8000,24.078125,25.65625,12.84375,209.0234375,489.625,80.640625,19.765625,27.6875,13.9609375,51.609375,764.9921875,46.25
8100,23.9140625,25.8203125,12.234375,207.8671875,491.0546875,82.703125,19.8125,27.8984375,13.5234375,51.6171875,757.2421875,47.71875
8200,22.875,25.7578125,13.0234375,209.1953125,495.640625,74.421875,18.5703125,28.046875,14.1171875,51.7265625,751.171875,55.4375
8300,22.890625,25.71875,12.6796875,209.5234375,484.5390625,84.0390625,18.796875,27.421875,13.65625,51.2578125,745.0390625,60.203125
8400,22.6796875,26.1875,12.4453125,208.78125,478.9453125,89.09375,18.5859375,28.0859375,13.4140625,51.140625,772.0546875,43.0390625
8500,22.2578125,24.7109375,12.671875,209.5390625,500.6640625,83.2890625,18.3046875,26.7578125,13.6328125,51.703125,767.125,46.1875
8600,21.9296875,24.640625,11.109375,210.3671875,498.59375,81.40625,18.0859375,26.265625,12.3359375,52.2265625,760.53125,51.2578125
8700,22.109375,25.4609375,11.15625,211.5703125,491.59375,80.984375,18.1953125,27.28125,12.6015625,51.5703125,762.6640625,50.609375
8800,22.3671875,23.8515625,11.9609375,207.359375,485.7890625,92.7109375,18.34375,25.90625,13.09375,51.03125,758.1484375,57.9140625
8900,22.4375,23.5546875,11.40625,206.6328125,487.0,93.5625,18.609375,25.125,12.375,51.953125,768.140625,48.3359375
9000,21.71875,22.7734375,11.25,208.875,510.3203125,81.53125,17.6640625,25.03125,12.359375,52.1171875,762.1484375,53.2578125
9100,21.40625,23.46875,10.234375,207.0546875,512.75,77.875,17.703125,25.015625,11.0703125,50.9921875,777.8515625,40.5078125
9200,22.609375,21.6328125,10.5078125,204.875,515.7109375,79.6484375,18.625,23.5390625,11.5,50.7421875,781.9375,36.2265625
9300,22.1640625,20.4609375,10.8046875,205.25,526.8046875,68.90625,18.1875,22.265625,12.09375,51.8984375,773.1484375,40.3515625
9400,21.7265625,19.96875,10.546875,205.7265625,525.453125,72.9609375,17.8125,21.640625,11.34375,52.0703125,776.2890625,43.65625
9500,21.59375,18.9296875,10.4609375,204.5234375,526.203125,70.9375,17.8046875,20.65625,11.40625,51.6484375,783.40625,41.6953125
9600,22.0859375,19.890625,10.1171875,202.2265625,535.3671875,67.703125,18.171875,21.28125,11.109375,51.5390625,763.8671875,54.390625
9700,21.1640625,21.140625,10.6171875,204.078125,536.2734375,64.9921875,17.5234375,23.6640625,11.109375,51.625,772.0859375,50.203125
9800,21.1953125,23.2265625,10.6015625,205.96875,524.859375,71.1875,17.125,25.0390625,11.90625,52.5078125,771.15625,45.6171875
9900,20.6875,24.0,10.1328125,205.515625,529.4296875,72.46875,17.2890625,25.84375,10.5703125,52.5546875,762.046875,53.953125
10000,20.9921875,24.1640625,10.421875,201.421875,533.578125,75.2109375,17.0859375,25.7265625,11.3671875,52.8515625,760.96875,52.6171875
10100,20.390625,23.78125,11.3125,202.5703125,535.421875,69.953125,17.0546875,25.8203125,11.546875,51.53125,774.515625,42.3203125
10200,20.59375,23.921875,10.03125,202.53125,540.8125,68.140625,16.78125,25.6640625,10.921875,51.2890625,774.7109375,47.03125
10300,20.5546875,22.96875,10.625,205.046875,541.296875,71.5625,16.8046875,24.984375,11.8046875,53.1796875,777.625,42.6796875
10400,20.53125,21.4296875,10.5234375,205.2578125,542.171875,70.015625,16.84375,23.140625,11.296875,53.0078125,774.234375,45.265625
10500,20.546875,20.1640625,10.0546875,203.359375,542.2265625,66.609375,16.828125,22.09375,10.75,50.9453125,782.21875,39.5703125
10600,20.484375,21.3203125,9.7578125,206.328125,539.109375,65.5234375,16.9921875,23.171875,10.2890625,51.25,782.828125,40.484375
10700,20.0625,20.890625,10.40625,208.28125,521.09375,75.3125,16.5859375,22.78125,11.3125,51.0703125,774.921875,51.1875
10800,20.5859375,21.3671875,9.75,205.375,538.796875,67.0078125,17.1953125,22.6328125,10.7421875,50.609375,791.828125,40.8828125
10900,20.3046875,21.8359375,9.4453125,202.875,538.765625,72.2734375,17.09375,23.2265625,10.3359375,51.046875,782.8984375,46.2421875
11000,20.2421875,21.1484375,9.25,202.5703125,540.9296875,68.28125,16.7109375,23.109375,9.8125,50.203125,777.53125,51.34375
11100,19.8046875,19.703125,8.75,205.2265625,550.53125,65.4609375,16.2109375,21.4609375,9.4375,51.0390625,790.96875,42.1796875
11200,20.046875,19.171875,8.609375,204.7265625,540.5234375,70.8671875,16.5703125,21.046875,9.3046875,50.4453125,792.6796875,40.421875
11300,19.53125,19.6328125,8.8359375,203.3046875,555.6328125,60.1640625,15.9453125,21.4765625,9.7265625,50.8203125,788.203125,42.140625
11400,19.15625,20.265625,9.125,199.7421875,563.9921875,59.265625,15.9453125,22.0234375,9.8671875,50.375,787.4609375,44.28125
11500,19.296875,20.03125,9.9453125,199.4296875,558.6171875,67.453125,16.125,21.3203125,10.734375,50.4453125,785.1328125,43.4375
11600,19.453125,19.046875,9.8125,201.1484375,562.4921875,62.7890625,16.0625,21.015625,10.5390625,51.3828125,786.625,42.125
11700,19.40625,19.1484375,9.390625,200.625,561.5546875,66.2734375,16.015625,21.1171875,10.1640625,50.0859375,790.375,43.984375
11800,18.8046875,18.484375,10.1953125,199.578125,567.828125,61.3515625,15.4140625,19.96875,11.0859375,49.9765625,796.4296875,39.5
