N,seed,rho,f_elongated,f_binary,f_active,mean_aspect_ratio,s_max_norm,s_max_norm_2,n_clusters,state_label,state_name,state_id
2000,501697692195937,0.848,2.1428571428571428e-05,0.0596357142857143,0.0596571428571428,1.0114107142857145,0.7287285714285714,0.940264285714286,1.1571428571428573,1,Jammed,1
2000,510593232092641,0.848,0.2150571428571428,0.1489785714285715,0.3640357142857143,1.50758,0.5624071428571429,0.5884285714285714,21.52857142857143,0,Unjammed,0
2000,517166228317078,0.848,0.0357428571428571,0.0733071428571428,0.1090499999999999,1.1029849999999997,0.7914285714285715,0.88425,7.2,1,Jammed,1
2000,521742092743191,0.848,0.1693285714285714,0.1304642857142857,0.2997928571428571,1.4054485714285714,0.6589857142857142,0.6740285714285714,19.2,0,Unjammed,0
2000,531323109617933,0.848,0.1023071428571428,0.1062857142857142,0.208592857142857,1.2546950000000008,0.7556714285714285,0.7767428571428573,13.342857142857143,0,Unjammed,0
2000,542029227742456,0.848,0.1335928571428571,0.1234714285714285,0.2570642857142856,1.331004285714286,0.7008928571428571,0.7182785714285714,16.32857142857143,0,Unjammed,0
2000,543308666121182,0.848,5.714285714285714e-05,0.0350285714285714,0.0350857142857142,1.0086485714285716,0.4651357142857143,0.9648642857142856,1.1,1,Jammed,1
2000,546276473453276,0.848,2.1428571428571428e-05,0.0504,0.0504214285714285,1.0106471428571429,0.7619714285714285,0.9494785714285714,1.1714285714285717,1,Jammed,1
2000,573641366056098,0.848,0.0,0.0551714285714285,0.0551714285714285,1.0111328571428575,0.7109928571428572,0.9447928571428572,1.0714285714285714,1,Jammed,1
2000,575209747940671,0.848,0.1015785714285714,0.11195,0.2135285714285714,1.259812857142857,0.7515071428571427,0.7691785714285715,13.957142857142856,0,Unjammed,0
2000,576259920081951,0.848,0.0822,0.0973499999999999,0.1795499999999998,1.2132021428571431,0.7864214285714286,0.8052571428571428,12.342857142857143,0,Unjammed,0
2000,581041572900200,0.848,0.2054428571428571,0.1427071428571429,0.3481499999999999,1.483645714285715,0.5898785714285714,0.6059928571428572,22.228571428571428,0,Unjammed,0
2000,582382717235568,0.848,6.428571428571429e-05,0.0494214285714285,0.0494857142857142,1.0082271428571434,0.15685,0.9504714285714284,1.0857142857142856,1,Jammed,1
2000,593849570694833,0.848,0.2123857142857143,0.1344428571428571,0.3468285714285714,1.4885249999999992,0.5804714285714285,0.6154142857142857,19.51428571428572,0,Unjammed,0
2000,595138602756779,0.848,0.1473642857142857,0.1341857142857143,0.2815499999999999,1.3649821428571431,0.6784428571428571,0.6968785714285713,15.642857142857142,0,Unjammed,0
2000,604884003999171,0.848,0.0,0.0513714285714285,0.0513714285714285,1.0119371428571424,0.8221499999999999,0.9486071428571428,1.042857142857143,1,Jammed,1
2000,605895506705858,0.848,0.0933214285714285,0.1109142857142857,0.2042357142857142,1.2437764285714286,0.7642142857142855,0.7798571428571429,14.271428571428572,0,Unjammed,0
2000,609367266722641,0.848,0.0584999999999999,0.0978571428571428,0.1563571428571427,1.1627364285714286,0.8142285714285714,0.8341571428571428,9.17142857142857,0,Unjammed,0
2000,618787482224677,0.848,0.1156857142857142,0.1128928571428571,0.2285785714285713,1.291014285714286,0.7348928571428571,0.7501142857142857,14.82857142857143,0,Unjammed,0
2000,667592237473616,0.848,0.0,0.0577571428571428,0.0577571428571428,1.0102207142857145,0.6960785714285714,0.9421214285714284,1.2142857142857142,1,Jammed,1
2000,680622798933824,0.848,0.0573571428571428,0.093,0.1503571428571428,1.1605814285714284,0.8170357142857144,0.83975,10.157142857142857,0,Unjammed,0
2000,690180359955634,0.848,0.1599785714285714,0.1258642857142857,0.285842857142857,1.3827214285714289,0.6750142857142859,0.6883714285714286,18.27142857142857,0,Unjammed,0
2000,701987058071801,0.848,0.2193428571428571,0.1434714285714286,0.3628142857142857,1.511031428571428,0.5623428571428571,0.5942214285714286,20.571428571428573,0,Unjammed,0
2000,703985244396274,0.848,0.25675,0.1527642857142858,0.4095142857142858,1.589662857142857,0.4896571428571428,0.5180214285714286,22.785714285714285,0,Unjammed,0
2000,722071326265667,0.848,0.1540714285714285,0.1187428571428571,0.2728142857142855,1.3638535714285716,0.68365,0.7005928571428571,18.7,0,Unjammed,0
2000,725201757884584,0.848,0.1299357142857143,0.13535,0.2652857142857143,1.33024,0.6955071428571428,0.7138214285714286,15.771428571428572,0,Unjammed,0
