N,seed,rho,f_elongated,f_binary,f_active,mean_aspect_ratio,s_max_norm,s_max_norm_2,n_clusters,state_label,state_name,state_id,p_local_total,p_local_active
2000,945622526456000,0.83,0.1562285714285714,0.1413428571428571,0.2975714285714285,1.3785342857142862,0.6491785714285715,0.6725857142857143,20.557142857142857,0,Unjammed,0,0.1888238147826919,0.6492569791088613
2000,959979233570859,0.83,0.2351214285714285,0.1520357142857142,0.3871571428571427,1.5452257142857144,0.5321642857142858,0.5544,27.757142857142856,0,Unjammed,0,0.176677252693984,0.6605713098895145
2000,962899970830917,0.83,0.2118785714285714,0.1514428571428571,0.3633214285714284,1.4937542857142851,0.5382428571428572,0.575,21.942857142857143,0,Unjammed,0,0.1852299582497004,0.6632894337653666
2000,969719008256981,0.83,0.1710357142857143,0.1507571428571428,0.3217928571428571,1.4171864285714282,0.6163142857142857,0.6446357142857142,23.985714285714284,0,Unjammed,0,0.2020174776673024,0.6926692287227811
2000,971536625474344,0.83,0.1951928571428571,0.1523357142857143,0.3475285714285714,1.4679757142857142,0.5953357142857143,0.6212285714285714,22.071428571428573,0,Unjammed,0,0.1603806075449802,0.6018867441974353
2000,974443487743328,0.83,0.1959071428571428,0.1461785714285715,0.3420857142857143,1.4620442857142857,0.5799142857142857,0.6063500000000001,23.0,0,Unjammed,0,0.1983346775621164,0.6149083291362882
2000,985549376192247,0.83,0.21035,0.1458357142857143,0.3561857142857143,1.493172857142857,0.5580785714285714,0.5887857142857145,22.928571428571427,0,Unjammed,0,0.2461997987314876,0.6540157750847019
2000,986893035328992,0.83,0.1748571428571428,0.1416857142857142,0.316542857142857,1.421405,0.61545,0.6410214285714286,22.942857142857143,0,Unjammed,0,0.2101083107760624,0.7264737444879965
2000,993068073743470,0.83,0.1875428571428571,0.1684785714285714,0.3560214285714285,1.4665985714285716,0.55735,0.5895571428571428,25.857142857142858,0,Unjammed,0,0.1451606918485151,0.6010536423264106
2000,1008612444973162,0.83,0.1541285714285714,0.1223785714285714,0.2765071428571428,1.3629928571428571,0.6855,0.7012785714285714,18.11428571428572,0,Unjammed,0,0.1738218512223476,0.6914944486481202
2000,1011744331896734,0.83,0.361642857142857,0.1734357142857143,0.5350785714285713,1.797562142857143,0.3115285714285714,0.3345928571428571,30.042857142857144,0,Unjammed,0,0.4048396885649261,0.7088985041579162
2000,1020578668480920,0.83,0.2006785714285714,0.1536071428571428,0.3542857142857142,1.476421428571429,0.5827857142857145,0.6107428571428573,23.81428571428572,0,Unjammed,0,0.3037624700904481,0.729881011888562
2000,1032785400457749,0.83,0.2121214285714285,0.1421857142857142,0.3543071428571427,1.4926578571428568,0.58465,0.6037285714285714,25.057142857142857,0,Unjammed,0,0.174695958240335,0.7318776278648705
2000,1034686135547599,0.83,0.2102214285714285,0.1536571428571429,0.3638785714285714,1.503018571428571,0.5738571428571428,0.5929928571428572,24.428571428571427,0,Unjammed,0,0.3010264026643084,0.7409351997645685
2000,1052030010736714,0.83,0.1287071428571428,0.1492,0.2779071428571428,1.3324585714285713,0.6752142857142855,0.70055,20.071428571428573,0,Unjammed,0,0.1365593312041315,0.7131657705487819
2000,1068084324211974,0.83,0.1739071428571428,0.1432142857142856,0.3171214285714284,1.4172764285714283,0.6221357142857142,0.6426571428571428,22.257142857142856,0,Unjammed,0,0.1751867402279493,0.6566756609074326
2000,1070126987202609,0.83,0.2843499999999999,0.1570642857142857,0.4414142857142856,1.641339285714286,0.4438142857142856,0.4632071428571428,28.12857142857143,0,Unjammed,0,0.1851302176078821,0.6752964556133817
